"BUDGET_YEAR","BUDGET_MONTH","GROUP_ID_MAIN_DESC","CASE_AMT","TREASURY_AMT","UPDATE_DATE"
"2567","ตุลาคม","เครื่องปรับอากาศ","0","0","2566-09-05"
"2563","ตุลาคม","เบียร์","240564.08","144338.46","2566-09-05"
"2564","ตุลาคม","เบียร์","178653","107191.8","2566-09-05"
"2565","ตุลาคม","เบียร์","66373.38","39824.04","2566-09-05"
"2566","ตุลาคม","เบียร์","93161","55896.6","2566-09-05"
"2567","ตุลาคม","เบียร์","0","0","2566-09-05"
"2565","ตุลาคม","เรือ","0","0","2566-09-05"
"2566","ตุลาคม","เรือ","0","0","2566-09-05"
"2567","ตุลาคม","เรือ","0","0","2566-09-05"
"2563","ตุลาคม","แก้วและเครื่องแก้ว","30128.36","22077.02","2566-09-05"
"2564","ตุลาคม","แก้วและเครื่องแก้ว","2000","1200","2566-09-05"
"2565","ตุลาคม","แก้วและเครื่องแก้ว","0","0","2566-09-05"
"2566","ตุลาคม","แก้วและเครื่องแก้ว","0","0","2566-09-05"
"2567","ตุลาคม","แก้วและเครื่องแก้ว","0","0","2566-09-05"
"2563","ตุลาคม","แบตเตอรี่","539040","343424","2566-09-05"
"2564","ตุลาคม","แบตเตอรี่","829562","523737.2","2566-09-05"
"2565","ตุลาคม","แบตเตอรี่","472810.8","292886.48","2566-09-05"
"2566","ตุลาคม","แบตเตอรี่","351207.4","210724.44","2566-09-05"
"2567","ตุลาคม","แบตเตอรี่","0","0","2566-09-05"
"2565","ตุลาคม","โคมไฟฟ้าและโคมระย้า","0","0","2566-09-05"
"2566","ตุลาคม","โคมไฟฟ้าและโคมระย้า","0","0","2566-09-05"
"2567","ตุลาคม","โคมไฟฟ้าและโคมระย้า","0","0","2566-09-05"
"2565","ตุลาคม","โทรคมนาคม","0","0","2566-09-05"
"2566","ตุลาคม","โทรคมนาคม","0","0","2566-09-05"
"2567","ตุลาคม","โทรคมนาคม","0","0","2566-09-05"
"2563","ตุลาคม","ไนท์คลับและดิสโกเธค","38000","28400","2566-09-05"
"2564","ตุลาคม","ไนท์คลับและดิสโกเธค","10000","6000","2566-09-05"
"2565","ตุลาคม","ไนท์คลับและดิสโกเธค","0","0","2566-09-05"
"2566","ตุลาคม","ไนท์คลับและดิสโกเธค","0","0","2566-09-05"
"2567","ตุลาคม","ไนท์คลับและดิสโกเธค","0","0","2566-09-05"
"2563","ตุลาคม","ไพ่","603098.2","361858.92","2566-09-05"
"2564","ตุลาคม","ไพ่","753873.72","452324.23","2566-09-05"
"2565","ตุลาคม","ไพ่","318457.6","191074.56","2566-09-05"
"2566","ตุลาคม","ไพ่","959178.25","575506.95","2566-09-05"
"2567","ตุลาคม","ไพ่","0","0","2566-09-05"
"2563","พฤศจิกายน","น้ำมันและผลิตภัณฑ์น้ำมัน","2031960.4","1228106.64","2566-09-05"
"2564","พฤศจิกายน","น้ำมันและผลิตภัณฑ์น้ำมัน","5150205.76","3103178.68","2566-09-05"
"2565","พฤศจิกายน","น้ำมันและผลิตภัณฑ์น้ำมัน","957393","625155.8","2566-09-05"
"2566","พฤศจิกายน","น้ำมันและผลิตภัณฑ์น้ำมัน","1700203.8","1029406.12","2566-09-05"
"2567","พฤศจิกายน","น้ำมันและผลิตภัณฑ์น้ำมัน","0","0","2566-09-05"
"2563","พฤศจิกายน","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","664237.44","398542.46","2566-09-05"
"2564","พฤศจิกายน","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","284845.15","171307.09","2566-09-05"
"2565","พฤศจิกายน","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","324684.18","194810.52","2566-09-05"
"2566","พฤศจิกายน","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","1116417.05","669850.24","2566-09-05"
"2567","พฤศจิกายน","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","0","0","2566-09-05"
"2565","พฤศจิกายน","พรมและสิ่งทอปูพื้น","0","0","2566-09-05"
"2566","พฤศจิกายน","พรมและสิ่งทอปูพื้น","0","0","2566-09-05"
"2567","พฤศจิกายน","พรมและสิ่งทอปูพื้น","0","0","2566-09-05"
"2563","พฤศจิกายน","ยาสูบ","25189732.09","15143967.54","2566-09-05"
"2564","พฤศจิกายน","ยาสูบ","17226448.79","10335869.47","2566-09-05"
"2565","พฤศจิกายน","ยาสูบ","24447039.25","14671256.84","2566-09-05"
"2566","พฤศจิกายน","ยาสูบ","21577534.51","13025366.57","2566-09-05"
"2567","พฤศจิกายน","ยาสูบ","0","0","2566-09-05"
"2563","พฤศจิกายน","รถจักรยานยนต์","3408852.45","2049311.51","2566-09-05"
"2564","พฤศจิกายน","รถจักรยานยนต์","5029404.5","3030442.68","2566-09-05"
"2565","พฤศจิกายน","รถจักรยานยนต์","3115223.06","1869133.82","2566-09-05"
"2566","พฤศจิกายน","รถจักรยานยนต์","1807824.88","1084694.94","2566-09-05"
"2567","พฤศจิกายน","รถจักรยานยนต์","0","0","2566-09-05"
"2563","พฤศจิกายน","รถยนต์","1853427","1112056.2","2566-09-05"
"2564","พฤศจิกายน","รถยนต์","4832109.26","2899265.56","2566-09-05"
"2565","พฤศจิกายน","รถยนต์","2321578.4","1392947.04","2566-09-05"
"2566","พฤศจิกายน","รถยนต์","1453915.38","882865.23","2566-09-05"
"2567","พฤศจิกายน","รถยนต์","0","0","2566-09-05"
"2564","พฤศจิกายน","สถานอาบน้ำหรืออบตัวและนวด","2000","1600","2566-09-05"
"2565","พฤศจิกายน","สถานอาบน้ำหรืออบตัวและนวด","0","0","2566-09-05"
"2566","พฤศจิกายน","สถานอาบน้ำหรืออบตัวและนวด","0","0","2566-09-05"
"2567","พฤศจิกายน","สถานอาบน้ำหรืออบตัวและนวด","0","0","2566-09-05"
"2564","พฤศจิกายน","สนามกอล์ฟ","10000","10000","2566-09-05"
"2565","พฤศจิกายน","สนามกอล์ฟ","0","0","2566-09-05"
"2566","พฤศจิกายน","สนามกอล์ฟ","0","0","2566-09-05"
"2567","พฤศจิกายน","สนามกอล์ฟ","0","0","2566-09-05"
"2565","พฤศจิกายน","สนามแข่งม้า","0","0","2566-09-05"
"2566","พฤศจิกายน","สนามแข่งม้า","0","0","2566-09-05"
"2567","พฤศจิกายน","สนามแข่งม้า","0","0","2566-09-05"
"2565","พฤศจิกายน","สลากกินแบ่ง","0","0","2566-09-05"
"2566","พฤศจิกายน","สลากกินแบ่ง","0","0","2566-09-05"
"2567","พฤศจิกายน","สลากกินแบ่ง","0","0","2566-09-05"
"2565","พฤศจิกายน","สารทำลายชั้นบรรยากาศโอโซน","0","0","2566-09-05"
"2566","พฤศจิกายน","สารทำลายชั้นบรรยากาศโอโซน","0","0","2566-09-05"
"2567","พฤศจิกายน","สารทำลายชั้นบรรยากาศโอโซน","0","0","2566-09-05"
"2563","พฤศจิกายน","สุรา","17318774.64","10429265.32","2566-09-05"
"2564","พฤศจิกายน","สุรา","15001090.51","9013054.33","2566-09-05"
"2565","พฤศจิกายน","สุรา","9910550.83","5965130.51","2566-09-05"
"2566","พฤศจิกายน","สุรา","10364658.29","6256096.86","2566-09-05"
"2567","พฤศจิกายน","สุรา","0","0","2566-09-05"
"2565","พฤศจิกายน","หินอ่อนและหินแกรนิต","0","0","2566-09-05"
"2566","พฤศจิกายน","หินอ่อนและหินแกรนิต","0","0","2566-09-05"
"2567","พฤศจิกายน","หินอ่อนและหินแกรนิต","0","0","2566-09-05"
"2563","พฤศจิกายน","อื่นๆ","","","2566-09-05"
"2565","พฤศจิกายน","อื่นๆ","0","0","2566-09-05"
"2566","พฤศจิกายน","อื่นๆ","0","0","2566-09-05"
"2567","พฤศจิกายน","อื่นๆ","0","0","2566-09-05"
"2565","พฤศจิกายน","เครื่องขายเครื่องดื่ม","0","0","2566-09-05"
"2566","พฤศจิกายน","เครื่องขายเครื่องดื่ม","0","0","2566-09-05"
"2567","พฤศจิกายน","เครื่องขายเครื่องดื่ม","0","0","2566-09-05"
"2563","พฤศจิกายน","เครื่องดื่ม","576656.53","347593.92","2566-09-05"
"2564","พฤศจิกายน","เครื่องดื่ม","665104.1","403062.46","2566-09-05"
"2565","พฤศจิกายน","เครื่องดื่ม","273789.15","168273.49","2566-09-05"
"2566","พฤศจิกายน","เครื่องดื่ม","620288.81","372173.29","2566-09-05"
"2567","พฤศจิกายน","เครื่องดื่ม","0","0","2566-09-05"
"2565","พฤศจิกายน","เครื่องปรับอากาศ","0","0","2566-09-05"
"2566","พฤศจิกายน","เครื่องปรับอากาศ","0","0","2566-09-05"
"2567","พฤศจิกายน","เครื่องปรับอากาศ","0","0","2566-09-05"
"2563","พฤศจิกายน","เบียร์","182233.14","110139.88","2566-09-05"
"2564","พฤศจิกายน","เบียร์","332804","199682.4","2566-09-05"
"2565","พฤศจิกายน","เบียร์","81588.35","48953.03","2566-09-05"
"2566","พฤศจิกายน","เบียร์","128742.64","77245.58","2566-09-05"
"2567","พฤศจิกายน","เบียร์","0","0","2566-09-05"
"2565","พฤศจิกายน","เรือ","0","0","2566-09-05"
"2566","พฤศจิกายน","เรือ","0","0","2566-09-05"
"2567","พฤศจิกายน","เรือ","0","0","2566-09-05"
"2563","พฤศจิกายน","แก้วและเครื่องแก้ว","6786","4071.6","2566-09-05"
"2565","พฤศจิกายน","แก้วและเครื่องแก้ว","0","0","2566-09-05"
"2566","พฤศจิกายน","แก้วและเครื่องแก้ว","0","0","2566-09-05"
"2567","พฤศจิกายน","แก้วและเครื่องแก้ว","0","0","2566-09-05"
"2563","พฤศจิกายน","แบตเตอรี่","480282","288169.2","2566-09-05"
"2564","พฤศจิกายน","แบตเตอรี่","1004041.6","610424.96","2566-09-05"
"2565","พฤศจิกายน","แบตเตอรี่","1007989.92","619593.96","2566-09-05"
"2566","พฤศจิกายน","แบตเตอรี่","322081","202848.6","2566-09-05"
"2567","พฤศจิกายน","แบตเตอรี่","0","0","2566-09-05"
"2565","พฤศจิกายน","โคมไฟฟ้าและโคมระย้า","0","0","2566-09-05"
"2566","พฤศจิกายน","โคมไฟฟ้าและโคมระย้า","0","0","2566-09-05"
"2567","พฤศจิกายน","โคมไฟฟ้าและโคมระย้า","0","0","2566-09-05"
"2565","พฤศจิกายน","โทรคมนาคม","0","0","2566-09-05"
"2566","พฤศจิกายน","โทรคมนาคม","0","0","2566-09-05"
"2567","พฤศจิกายน","โทรคมนาคม","0","0","2566-09-05"
"2563","พฤศจิกายน","ไนท์คลับและดิสโกเธค","114000","75600","2566-09-05"
"2564","พฤศจิกายน","ไนท์คลับและดิสโกเธค","12000","12000","2566-09-05"
"2565","พฤศจิกายน","ไนท์คลับและดิสโกเธค","0","0","2566-09-05"
"2566","พฤศจิกายน","ไนท์คลับและดิสโกเธค","10000","10000","2566-09-05"
"2567","พฤศจิกายน","ไนท์คลับและดิสโกเธค","0","0","2566-09-05"
"2563","พฤศจิกายน","ไพ่","868636","521181.6","2566-09-05"
"2564","พฤศจิกายน","ไพ่","669618","401770.8","2566-09-05"
"2565","พฤศจิกายน","ไพ่","274488","164692.8","2566-09-05"
"2566","พฤศจิกายน","ไพ่","494013.2","296407.92","2566-09-05"
"2567","พฤศจิกายน","ไพ่","0","0","2566-09-05"
"2563","ธันวาคม","น้ำมันและผลิตภัณฑ์น้ำมัน","2760737.3","1664691.18","2566-09-05"
"2564","ธันวาคม","น้ำมันและผลิตภัณฑ์น้ำมัน","7916404.5","4787267.1","2566-09-05"
"2565","ธันวาคม","น้ำมันและผลิตภัณฑ์น้ำมัน","425715.1","257757.06","2566-09-05"
"2566","ธันวาคม","น้ำมันและผลิตภัณฑ์น้ำมัน","1938141.86","1180337.92","2566-09-05"
"2567","ธันวาคม","น้ำมันและผลิตภัณฑ์น้ำมัน","0","0","2566-09-05"
"2563","ธันวาคม","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","36687.6","22012.56","2566-09-05"
"2564","ธันวาคม","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","766692.55","462815.53","2566-09-05"
"2565","ธันวาคม","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","468946.24","281367.76","2566-09-05"
"2566","ธันวาคม","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","1097190.1","658314.06","2566-09-05"
"2567","ธันวาคม","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","0","0","2566-09-05"
